s_id,semester,club_id,position,member_flag,assistant_manager_flag,manager_flag
cea2325e967300ba9aaa9fd9400120aa,1021,C011,1,Y,N,N
690a528ad07b17f0fd1dc74a177307c7,1021,C011,1,Y,N,N
1736daabc468bfebea6df7093f8a8da3,1021,C011,1,Y,N,N
7d7ce539ee576c148d96042c56612d3d,1021,B008,1,Y,N,N
7d7ce539ee576c148d96042c56612d3d,1022,B008,1,Y,N,N
7d7ce539ee576c148d96042c56612d3d,1031,B008,1,Y,N,N
7d7ce539ee576c148d96042c56612d3d,1032,B008,1,Y,N,N
7d7ce539ee576c148d96042c56612d3d,1041,B008,1,Y,N,N
7d7ce539ee576c148d96042c56612d3d,1042,B008,1,Y,N,N
7d7ce539ee576c148d96042c56612d3d,1051,B008,1,Y,N,N
7d7ce539ee576c148d96042c56612d3d,1052,B008,1,Y,N,N
ab15ff52a75ff8ee097e5f9ef8238c22,1021,B008,2,N,Y,N
ab15ff52a75ff8ee097e5f9ef8238c22,1022,B008,2,N,Y,N
ab15ff52a75ff8ee097e5f9ef8238c22,1031,B008,2,N,Y,N
ab15ff52a75ff8ee097e5f9ef8238c22,1032,B008,2,N,Y,N
ab15ff52a75ff8ee097e5f9ef8238c22,1041,B008,2,N,Y,N
ab15ff52a75ff8ee097e5f9ef8238c22,1042,B008,2,N,Y,N
ab15ff52a75ff8ee097e5f9ef8238c22,1051,B008,2,N,Y,N
ab15ff52a75ff8ee097e5f9ef8238c22,1052,B008,2,N,Y,N
ad7d26bbc84b06c535bb78fd9fe396ec,1021,D005,1,Y,N,N
ad7d26bbc84b06c535bb78fd9fe396ec,1022,D005,1,Y,N,N
ad7d26bbc84b06c535bb78fd9fe396ec,1031,D005,1,Y,N,N
ad7d26bbc84b06c535bb78fd9fe396ec,1032,D005,1,Y,N,N
ad7d26bbc84b06c535bb78fd9fe396ec,1041,D005,1,Y,N,N
ad7d26bbc84b06c535bb78fd9fe396ec,1042,D005,1,Y,N,N
ad7d26bbc84b06c535bb78fd9fe396ec,1051,D005,1,Y,N,N
ad7d26bbc84b06c535bb78fd9fe396ec,1052,D005,1,Y,N,N
026b30e4f730584b1d2b9240c8b1f0e5,1021,D005,1,Y,N,N
026b30e4f730584b1d2b9240c8b1f0e5,1022,D005,1,Y,N,N
026b30e4f730584b1d2b9240c8b1f0e5,1031,D005,1,Y,N,N
026b30e4f730584b1d2b9240c8b1f0e5,1032,D005,1,Y,N,N
026b30e4f730584b1d2b9240c8b1f0e5,1041,D005,1,Y,N,N
026b30e4f730584b1d2b9240c8b1f0e5,1042,D005,1,Y,N,N
026b30e4f730584b1d2b9240c8b1f0e5,1051,D005,1,Y,N,N
026b30e4f730584b1d2b9240c8b1f0e5,1052,D005,1,Y,N,N
a26180ca13dddc1bccae1686565f6c82,1021,D005,1,Y,N,N
a26180ca13dddc1bccae1686565f6c82,1022,D005,1,Y,N,N
a26180ca13dddc1bccae1686565f6c82,1031,D005,1,Y,N,N
a26180ca13dddc1bccae1686565f6c82,1032,D005,1,Y,N,N
a26180ca13dddc1bccae1686565f6c82,1041,D005,1,Y,N,N
a26180ca13dddc1bccae1686565f6c82,1042,D005,1,Y,N,N
a26180ca13dddc1bccae1686565f6c82,1051,D005,1,Y,N,N
a26180ca13dddc1bccae1686565f6c82,1052,D005,1,Y,N,N
60a2acb111e2465c0c05bea8de111f57,1021,D005,1,Y,N,N
60a2acb111e2465c0c05bea8de111f57,1022,D005,1,Y,N,N
60a2acb111e2465c0c05bea8de111f57,1031,D005,1,Y,N,N
60a2acb111e2465c0c05bea8de111f57,1032,D005,1,Y,N,N
60a2acb111e2465c0c05bea8de111f57,1041,D005,1,Y,N,N
60a2acb111e2465c0c05bea8de111f57,1042,D005,1,Y,N,N
60a2acb111e2465c0c05bea8de111f57,1051,D005,1,Y,N,N
60a2acb111e2465c0c05bea8de111f57,1052,D005,1,Y,N,N
4f89ef08d5d29c7ccd00028d2cd80ad8,1021,D005,1,Y,N,N
5ff549eacf4fb7a1f98930a14f40f6c4,1021,D005,1,Y,N,N
5ff549eacf4fb7a1f98930a14f40f6c4,1022,D005,1,Y,N,N
5ff549eacf4fb7a1f98930a14f40f6c4,1031,D005,1,Y,N,N
5ff549eacf4fb7a1f98930a14f40f6c4,1032,D005,1,Y,N,N
5ff549eacf4fb7a1f98930a14f40f6c4,1041,D005,1,Y,N,N
5ff549eacf4fb7a1f98930a14f40f6c4,1042,D005,1,Y,N,N
5ff549eacf4fb7a1f98930a14f40f6c4,1051,D005,1,Y,N,N
5ff549eacf4fb7a1f98930a14f40f6c4,1052,D005,1,Y,N,N
085510d0a743da97a3309423487c3b5d,1021,D005,1,Y,N,N
085510d0a743da97a3309423487c3b5d,1022,D005,1,Y,N,N
085510d0a743da97a3309423487c3b5d,1031,D005,1,Y,N,N
085510d0a743da97a3309423487c3b5d,1032,D005,1,Y,N,N
085510d0a743da97a3309423487c3b5d,1041,D005,1,Y,N,N
085510d0a743da97a3309423487c3b5d,1042,D005,1,Y,N,N
085510d0a743da97a3309423487c3b5d,1051,D005,1,Y,N,N
085510d0a743da97a3309423487c3b5d,1052,D005,1,Y,N,N
441a2da78a3825d64784b98ac3224572,1021,D005,1,Y,N,N
441a2da78a3825d64784b98ac3224572,1022,D005,1,Y,N,N
441a2da78a3825d64784b98ac3224572,1031,D005,1,Y,N,N
441a2da78a3825d64784b98ac3224572,1032,D005,1,Y,N,N
441a2da78a3825d64784b98ac3224572,1041,D005,1,Y,N,N
441a2da78a3825d64784b98ac3224572,1042,D005,1,Y,N,N
441a2da78a3825d64784b98ac3224572,1051,D005,1,Y,N,N
441a2da78a3825d64784b98ac3224572,1052,D005,1,Y,N,N
544b8530f7336c4924aec80a008fdeca,1021,D005,1,Y,N,N
544b8530f7336c4924aec80a008fdeca,1022,D005,1,Y,N,N
544b8530f7336c4924aec80a008fdeca,1031,D005,1,Y,N,N
544b8530f7336c4924aec80a008fdeca,1032,D005,1,Y,N,N
544b8530f7336c4924aec80a008fdeca,1041,D005,1,Y,N,N
544b8530f7336c4924aec80a008fdeca,1042,D005,1,Y,N,N
544b8530f7336c4924aec80a008fdeca,1051,D005,1,Y,N,N
544b8530f7336c4924aec80a008fdeca,1052,D005,1,Y,N,N
5f564a7dc55fd7e8b57d63d6a22fcd2d,1021,D005,1,Y,N,N
5f564a7dc55fd7e8b57d63d6a22fcd2d,1022,D005,1,Y,N,N
5f564a7dc55fd7e8b57d63d6a22fcd2d,1031,D005,1,Y,N,N
5f564a7dc55fd7e8b57d63d6a22fcd2d,1032,D005,1,Y,N,N
5f564a7dc55fd7e8b57d63d6a22fcd2d,1041,D005,1,Y,N,N
5f564a7dc55fd7e8b57d63d6a22fcd2d,1042,D005,1,Y,N,N
5f564a7dc55fd7e8b57d63d6a22fcd2d,1051,D005,1,Y,N,N
5f564a7dc55fd7e8b57d63d6a22fcd2d,1052,D005,1,Y,N,N
6a7bfa4dd61ae1187d4ac240a32821b0,1021,D005,1,Y,N,N
6a7bfa4dd61ae1187d4ac240a32821b0,1022,D005,1,Y,N,N
6a7bfa4dd61ae1187d4ac240a32821b0,1031,D005,1,Y,N,N
6a7bfa4dd61ae1187d4ac240a32821b0,1032,D005,1,Y,N,N
6a7bfa4dd61ae1187d4ac240a32821b0,1041,D005,1,Y,N,N
6a7bfa4dd61ae1187d4ac240a32821b0,1042,D005,1,Y,N,N
6a7bfa4dd61ae1187d4ac240a32821b0,1051,D005,1,Y,N,N
6a7bfa4dd61ae1187d4ac240a32821b0,1052,D005,1,Y,N,N
4f89ef08d5d29c7ccd00028d2cd80ad8,1021,D005,1,Y,N,N
4f89ef08d5d29c7ccd00028d2cd80ad8,1022,D005,1,Y,N,N
4f89ef08d5d29c7ccd00028d2cd80ad8,1031,D005,1,Y,N,N
4f89ef08d5d29c7ccd00028d2cd80ad8,1032,D005,1,Y,N,N
4f89ef08d5d29c7ccd00028d2cd80ad8,1041,D005,1,Y,N,N
4f89ef08d5d29c7ccd00028d2cd80ad8,1042,D005,1,Y,N,N
4f89ef08d5d29c7ccd00028d2cd80ad8,1051,D005,1,Y,N,N
4f89ef08d5d29c7ccd00028d2cd80ad8,1052,D005,1,Y,N,N
0e3077c67b17125011cd3d2b8e0c5fc8,1021,D005,1,Y,N,N
0e3077c67b17125011cd3d2b8e0c5fc8,1022,D005,1,Y,N,N
0e3077c67b17125011cd3d2b8e0c5fc8,1031,D005,1,Y,N,N
0e3077c67b17125011cd3d2b8e0c5fc8,1032,D005,1,Y,N,N
0e3077c67b17125011cd3d2b8e0c5fc8,1041,D005,1,Y,N,N
0e3077c67b17125011cd3d2b8e0c5fc8,1042,D005,1,Y,N,N
0e3077c67b17125011cd3d2b8e0c5fc8,1051,D005,1,Y,N,N
0e3077c67b17125011cd3d2b8e0c5fc8,1052,D005,1,Y,N,N
aafd9b8401d0642dccbb9dc0ffedf6e0,1021,D005,1,Y,N,N
aafd9b8401d0642dccbb9dc0ffedf6e0,1022,D005,1,Y,N,N
aafd9b8401d0642dccbb9dc0ffedf6e0,1031,D005,1,Y,N,N
aafd9b8401d0642dccbb9dc0ffedf6e0,1032,D005,1,Y,N,N
aafd9b8401d0642dccbb9dc0ffedf6e0,1041,D005,1,Y,N,N
aafd9b8401d0642dccbb9dc0ffedf6e0,1042,D005,1,Y,N,N
aafd9b8401d0642dccbb9dc0ffedf6e0,1051,D005,1,Y,N,N
aafd9b8401d0642dccbb9dc0ffedf6e0,1052,D005,1,Y,N,N
77a86520c84569986b5507ccd29265a6,1021,D005,1,Y,N,N
77a86520c84569986b5507ccd29265a6,1022,D005,1,Y,N,N
77a86520c84569986b5507ccd29265a6,1031,D005,1,Y,N,N
77a86520c84569986b5507ccd29265a6,1032,D005,1,Y,N,N
77a86520c84569986b5507ccd29265a6,1041,D005,1,Y,N,N
77a86520c84569986b5507ccd29265a6,1042,D005,1,Y,N,N
77a86520c84569986b5507ccd29265a6,1051,D005,1,Y,N,N
77a86520c84569986b5507ccd29265a6,1052,D005,1,Y,N,N
4b31bd73564c7c768b78348bc121df7a,1021,D005,1,Y,N,N
4b31bd73564c7c768b78348bc121df7a,1022,D005,1,Y,N,N
4b31bd73564c7c768b78348bc121df7a,1031,D005,1,Y,N,N
4b31bd73564c7c768b78348bc121df7a,1032,D005,1,Y,N,N
4b31bd73564c7c768b78348bc121df7a,1041,D005,1,Y,N,N
4b31bd73564c7c768b78348bc121df7a,1042,D005,1,Y,N,N
4b31bd73564c7c768b78348bc121df7a,1051,D005,1,Y,N,N
4b31bd73564c7c768b78348bc121df7a,1052,D005,1,Y,N,N
2f047493da50c22b9b6972e6ba78e42f,1021,D005,1,Y,N,N
2f047493da50c22b9b6972e6ba78e42f,1022,D005,1,Y,N,N
2f047493da50c22b9b6972e6ba78e42f,1031,D005,1,Y,N,N
2f047493da50c22b9b6972e6ba78e42f,1032,D005,1,Y,N,N
2f047493da50c22b9b6972e6ba78e42f,1041,D005,1,Y,N,N
2f047493da50c22b9b6972e6ba78e42f,1042,D005,1,Y,N,N
2f047493da50c22b9b6972e6ba78e42f,1051,D005,1,Y,N,N
2f047493da50c22b9b6972e6ba78e42f,1052,D005,1,Y,N,N
b340e1ec1bc955185dafaad65acae114,1021,D005,1,Y,N,N
b340e1ec1bc955185dafaad65acae114,1022,D005,1,Y,N,N
b340e1ec1bc955185dafaad65acae114,1031,D005,1,Y,N,N
b340e1ec1bc955185dafaad65acae114,1032,D005,1,Y,N,N
b340e1ec1bc955185dafaad65acae114,1041,D005,1,Y,N,N
b340e1ec1bc955185dafaad65acae114,1042,D005,1,Y,N,N
b340e1ec1bc955185dafaad65acae114,1051,D005,1,Y,N,N
b340e1ec1bc955185dafaad65acae114,1052,D005,1,Y,N,N
1ea33b5b9f8873738714956a2498e7fb,1021,D005,1,Y,N,N
1ea33b5b9f8873738714956a2498e7fb,1022,D005,1,Y,N,N
1ea33b5b9f8873738714956a2498e7fb,1031,D005,1,Y,N,N
1ea33b5b9f8873738714956a2498e7fb,1032,D005,1,Y,N,N
1ea33b5b9f8873738714956a2498e7fb,1041,D005,1,Y,N,N
1ea33b5b9f8873738714956a2498e7fb,1042,D005,1,Y,N,N
1ea33b5b9f8873738714956a2498e7fb,1051,D005,1,Y,N,N
1ea33b5b9f8873738714956a2498e7fb,1052,D005,1,Y,N,N
045403eba93695df8e6359ed1a0869b6,1021,D005,1,Y,N,N
045403eba93695df8e6359ed1a0869b6,1022,D005,1,Y,N,N
045403eba93695df8e6359ed1a0869b6,1031,D005,1,Y,N,N
